"walk","migratory.class","Freq","behavior"
"45","resident",0,"Cleaning summer"
"46","resident",0,"Cleaning spring"
"46","resident",0,"Cleaning summer"
"47","resident",0,"Cleaning spring"
"47","resident",0,"Cleaning summer"
"1","resident",0,"Feeding spring"
"1","resident",0,"Feeding summer"
"2","resident",0,"Feeding spring"
"2","resident",0,"Feeding summer"
"3","resident",0,"Feeding spring"
"3","resident",0,"Feeding summer"
"4","resident",1,"Feeding spring"
"4","resident",0,"Feeding summer"
"5","resident",0,"Feeding spring"
"5","resident",0,"Feeding summer"
"6","resident",0,"Feeding spring"
"6","resident",0,"Feeding summer"
"7","resident",0,"Feeding spring"
"7","resident",0,"Feeding summer"
"8","resident",0,"Feeding spring"
"8","resident",0,"Feeding summer"
"9","resident",0,"Feeding spring"
"9","resident",0,"Feeding summer"
"10","resident",0,"Feeding spring"
"10","resident",0,"Feeding summer"
"11","resident",0,"Feeding spring"
"11","resident",0,"Feeding summer"
"12","resident",0,"Feeding spring"
"12","resident",0,"Feeding summer"
"13","resident",0,"Feeding spring"
"13","resident",0,"Feeding summer"
"14","resident",1,"Feeding spring"
"14","resident",0,"Feeding summer"
"15","resident",0,"Feeding spring"
"15","resident",0,"Feeding summer"
"16","resident",0,"Feeding spring"
"16","resident",0,"Feeding summer"
"17","resident",0,"Feeding spring"
"17","resident",0,"Feeding summer"
"18","resident",0,"Feeding spring"
"18","resident",0,"Feeding summer"
"19","resident",0,"Feeding spring"
"19","resident",0,"Feeding summer"
"20","resident",0,"Feeding spring"
"20","resident",0,"Feeding summer"
"21","resident",1,"Feeding spring"
"21","resident",0,"Feeding summer"
"22","resident",1,"Feeding spring"
"22","resident",0,"Feeding summer"
"23","resident",0,"Feeding spring"
"23","resident",0,"Feeding summer"
"24","resident",0,"Feeding spring"
"24","resident",0,"Feeding summer"
"25","resident",2,"Feeding spring"
"25","resident",0,"Feeding summer"
"26","resident",2,"Feeding spring"
"26","resident",0,"Feeding summer"
"27","resident",0,"Feeding spring"
"27","resident",0,"Feeding summer"
"28","resident",0,"Feeding spring"
"28","resident",0,"Feeding summer"
"29","resident",0,"Feeding spring"
"29","resident",1,"Feeding summer"
"30","resident",0,"Feeding spring"
"30","resident",1,"Feeding summer"
"31","resident",0,"Feeding spring"
"31","resident",0,"Feeding summer"
"32","resident",0,"Feeding spring"
"32","resident",0,"Feeding summer"
"33","resident",0,"Feeding spring"
"33","resident",0,"Feeding summer"
"34","resident",0,"Feeding spring"
"34","resident",0,"Feeding summer"
"35","resident",0,"Feeding spring"
"35","resident",0,"Feeding summer"
"36","resident",0,"Feeding spring"
"36","resident",0,"Feeding summer"
"37","resident",0,"Feeding spring"
"37","resident",0,"Feeding summer"
"38","resident",0,"Feeding spring"
"38","resident",2,"Feeding summer"
"39","resident",0,"Feeding spring"
"39","resident",0,"Feeding summer"
"40","resident",0,"Feeding spring"
"40","resident",0,"Feeding summer"
"41","resident",0,"Feeding spring"
"41","resident",0,"Feeding summer"
"42","resident",0,"Feeding spring"
"42","resident",1,"Feeding summer"
"43","resident",0,"Feeding spring"
"43","resident",0,"Feeding summer"
"44","resident",0,"Feeding spring"
"44","resident",1,"Feeding summer"
"45","resident",0,"Feeding spring"
"45","resident",0,"Feeding summer"
"46","resident",0,"Feeding spring"
"46","resident",0,"Feeding summer"
"47","resident",0,"Feeding spring"
"47","resident",21,"Feeding summer"
"1","resident",4,"Inactivity spring"
"1","resident",0,"Inactivity summer"
"2","resident",5,"Inactivity spring"
"2","resident",0,"Inactivity summer"
"3","resident",10,"Inactivity spring"
"3","resident",0,"Inactivity summer"
